I, [2019-08-21T07:21:28.332603 #6744]  INFO -- default-centos-6: -----> Creating <default-centos-6>...
E, [2019-08-21T07:21:28.956498 #6744] ERROR -- default-centos-6: Create failed on instance <default-centos-6>.
E, [2019-08-21T07:21:28.956722 #6744] ERROR -- default-centos-6: ------Exception-------
E, [2019-08-21T07:21:28.956815 #6744] ERROR -- default-centos-6: Class: Aws::EC2::Errors::InvalidAMIIDNotFound
E, [2019-08-21T07:21:28.956893 #6744] ERROR -- default-centos-6: Message: The image id '[ami-a8d2d7ce]' does not exist
E, [2019-08-21T07:21:28.956969 #6744] ERROR -- default-centos-6: ----------------------
E, [2019-08-21T07:21:28.957697 #6744] ERROR -- default-centos-6: ------Backtrace-------
E, [2019-08-21T07:21:28.957769 #6744] ERROR -- default-centos-6: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/aws-sdk-core-2.11.50/lib/seahorse/client/plugins/raise_response_errors.rb:15:in `call'
E, [2019-08-21T07:21:28.957832 #6744] ERROR -- default-centos-6: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/aws-sdk-core-2.11.50/lib/aws-sdk-core/plugins/jsonvalue_converter.rb:20:in `call'
E, [2019-08-21T07:21:28.957892 #6744] ERROR -- default-centos-6: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/aws-sdk-core-2.11.50/lib/aws-sdk-core/plugins/idempotency_token.rb:18:in `call'
E, [2019-08-21T07:21:28.957951 #6744] ERROR -- default-centos-6: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/aws-sdk-core-2.11.50/lib/aws-sdk-core/plugins/param_converter.rb:20:in `call'
E, [2019-08-21T07:21:28.958010 #6744] ERROR -- default-centos-6: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/aws-sdk-core-2.11.50/lib/aws-sdk-core/plugins/response_paging.rb:26:in `call'
E, [2019-08-21T07:21:28.958069 #6744] ERROR -- default-centos-6: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/aws-sdk-core-2.11.50/lib/seahorse/client/plugins/response_target.rb:21:in `call'
E, [2019-08-21T07:21:28.958128 #6744] ERROR -- default-centos-6: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/aws-sdk-core-2.11.50/lib/seahorse/client/request.rb:70:in `send_request'
E, [2019-08-21T07:21:28.958186 #6744] ERROR -- default-centos-6: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/aws-sdk-core-2.11.50/lib/seahorse/client/base.rb:207:in `block (2 levels) in define_operation_methods'
E, [2019-08-21T07:21:28.958245 #6744] ERROR -- default-centos-6: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/aws-sdk-resources-2.11.50/lib/aws-sdk-resources/request.rb:24:in `call'
E, [2019-08-21T07:21:28.958310 #6744] ERROR -- default-centos-6: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/aws-sdk-resources-2.11.50/lib/aws-sdk-resources/operations.rb:41:in `call'
E, [2019-08-21T07:21:28.958368 #6744] ERROR -- default-centos-6: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/aws-sdk-resources-2.11.50/lib/aws-sdk-resources/operations.rb:61:in `call'
E, [2019-08-21T07:21:28.958434 #6744] ERROR -- default-centos-6: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/aws-sdk-resources-2.11.50/lib/aws-sdk-resources/resource.rb:147:in `load'
E, [2019-08-21T07:21:28.958492 #6744] ERROR -- default-centos-6: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/aws-sdk-resources-2.11.50/lib/aws-sdk-resources/resource.rb:120:in `data'
E, [2019-08-21T07:21:28.958549 #6744] ERROR -- default-centos-6: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/aws-sdk-resources-2.11.50/lib/aws-sdk-resources/resource.rb:223:in `block in add_data_attribute'
