I, [2019-08-21T08:43:58.502466 #1116]  INFO -- default-ubuntu-1604: -----> Creating <default-ubuntu-1604>...
I, [2019-08-21T08:43:59.219181 #1116]  INFO -- default-ubuntu-1604: Detected platform: ubuntu version 16.04 on x86_64. Instance Type: t2.micro. Default username: ubuntu (default).
I, [2019-08-21T08:43:59.219521 #1116]  INFO -- default-ubuntu-1604: If you are not using an account that qualifies under the AWS
free-tier, you may be charged to run these suites. The charge
should be minimal, but neither Test Kitchen nor its maintainers
are responsible for your incurred costs.

I, [2019-08-21T08:44:00.050022 #1116]  INFO -- default-ubuntu-1604: Instance <i-0b91fd17ca6ae78e0> requested.
I, [2019-08-21T08:44:00.050361 #1116]  INFO -- default-ubuntu-1604: Polling AWS for existence, attempt 0...
I, [2019-08-21T08:44:00.144532 #1116]  INFO -- default-ubuntu-1604: Attempting to tag the instance, 0 retries
I, [2019-08-21T08:44:00.439948 #1116]  INFO -- default-ubuntu-1604: EC2 instance <i-0b91fd17ca6ae78e0> created.
I, [2019-08-21T08:44:00.440319 #1116]  INFO -- default-ubuntu-1604: Waited 0/300s for instance <i-0b91fd17ca6ae78e0> volumes to be ready.
I, [2019-08-21T08:44:05.658491 #1116]  INFO -- default-ubuntu-1604: Waited 5/300s for instance <i-0b91fd17ca6ae78e0> volumes to be ready.
I, [2019-08-21T08:44:10.901269 #1116]  INFO -- default-ubuntu-1604: Waited 10/300s for instance <i-0b91fd17ca6ae78e0> volumes to be ready.
I, [2019-08-21T08:44:11.356748 #1116]  INFO -- default-ubuntu-1604: Waited 0/300s for instance <i-0b91fd17ca6ae78e0> to become ready.
I, [2019-08-21T08:44:16.443065 #1116]  INFO -- default-ubuntu-1604: Waited 5/300s for instance <i-0b91fd17ca6ae78e0> to become ready.
I, [2019-08-21T08:44:21.565832 #1116]  INFO -- default-ubuntu-1604: Waited 10/300s for instance <i-0b91fd17ca6ae78e0> to become ready.
I, [2019-08-21T08:44:26.688636 #1116]  INFO -- default-ubuntu-1604: Waited 15/300s for instance <i-0b91fd17ca6ae78e0> to become ready.
I, [2019-08-21T08:44:31.844433 #1116]  INFO -- default-ubuntu-1604: Waited 20/300s for instance <i-0b91fd17ca6ae78e0> to become ready.
I, [2019-08-21T08:44:36.967236 #1116]  INFO -- default-ubuntu-1604: Waited 25/300s for instance <i-0b91fd17ca6ae78e0> to become ready.
I, [2019-08-21T08:44:42.145105 #1116]  INFO -- default-ubuntu-1604: Waited 30/300s for instance <i-0b91fd17ca6ae78e0> to become ready.
I, [2019-08-21T08:44:42.227367 #1116]  INFO -- default-ubuntu-1604: EC2 instance <i-0b91fd17ca6ae78e0> ready (hostname: ec2-34-243-85-22.eu-west-1.compute.amazonaws.com).
I, [2019-08-21T08:44:42.847456 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:44:45.950302 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
